#,Country,Total Workforce (Millions),Female Workforce (Millions),% Women,"% Women Legislators,  Senior Officials  and Managers",% Women in Parliament,% Women in Ministerial Positions,Overall Workforce Average Wage (in USD$),Women's Average Wage (USD$),Gender Pay Gap (%),Tech Workforce (Thousands),% Workforce in Tech,Female Tech Workforce (Thousands),% Women in Tech,% Difference of Women in Workforce and Women in Tech,Female STEM Graduates (%),Tech Average Wage (USD$),Tech Average Wage for Women (USD$),Gender Pay Gap in Tech (%),% Difference of Overall Gender Pay Gap and Gender Pay Gap in Tech,Gender Inequality Index (Score  0 = equality),Gender Pay Gap 2010,Comparison of Gender Pay Gap From 2010 To 2015
25,Israel,3.93,1.86,47.30%,32.90%,26.50%,18.00%,"34,023","26,596",21.83%,236.27,6.02%,25.99,11.00%,-36.30%,24.81%,"43,313","31,568",27.12%,-5.29%,0.103,20.70%,1.13%
26,Bulgaria,3.31,1.55,46.91%,36.70%,20.60%,35.10%,"14,513","12,278",15.40%,80.9,2.44%,24.5,30.28%,-16.63%,28.57%,"33,122","26,762",19.20%,-3.80%,0.223,13.00%,2.40%
27,Denmark,3.03,1.43,47.30%,27.00%,37.50%,26.50%,"52,580","47,076",10.47%,119.4,3.94%,23.9,20.02%,-27.28%,28.57%,"70,961","58,685",17.30%,-6.83%,0.041,12.40%,-1.93%
28,Norway,2.77,1.3,47.03%,35.90%,39.80%,47.10%,"53,643","47,736",11.01%,113.1,4.09%,22,19.45%,-27.58%,19.35%,"69,095","58,454",15.40%,-4.39%,0.053,12.08%,-1.07%
29,Slovak Republic,2.76,1.25,45.24%,31.50%,20.00%,0.00%,"23,508","20,363",13.38%,73.2,2.65%,6.8,9.29%,-35.95%,24.81%,"29,927","21,637",27.70%,-14.32%,0.179,14.85%,-1.47%
30,Finland,2.68,1.29,48.14%,33.80%,41.50%,62.50%,"42,127","34,680",17.68%,162.3,6.04%,35.6,21.93%,-26.20%,20.00%,"54,303","46,972",13.50%,4.18%,0.056,19.59%,-1.91%
31,New Zealand,2.6,1.23,47.39%,40.10%,31.50%,33.30%,"39,397","36,277",7.92%,96.13,3.70%,17.24,17.93%,-29.46%,27.01%,"50,155","45,220",9.84%,-1.92%,0.158,7.01%,0.91%
32,Ireland,2.19,0.99,45.09%,34.20%,22.50%,28.60%,"51,681","44,355",14.17%,78.1,3.56%,14.8,18.95%,-26.14%,24.81%,"73,226","60,558",17.30%,-3.13%,0.127,13.37%,0.80%
33,Croatia,1.76,0.81,46.04%,23.10%,15.30%,20.00%,"23,848","21,367",10.40%,52.3,2.98%,6.9,13.19%,-32.84%,26.47%,"34,368","29,900",13.00%,-2.60%,0.141,5.70%,4.70%
34,Lithuania,1.48,0.76,51.17%,39.80%,23.70%,21.30%,"22,949","19,690",14.20%,34.1,2.31%,8.5,24.93%,-26.24%,17.36%,"38,138","26,888",29.50%,-15.30%,0.121,12.62%,1.58%
35,Latvia,0.99,0.5,50.25%,44.40%,18.00%,23.10%,"22,389","18,583",17.00%,19.7,1.99%,4.9,24.87%,-25.38%,16.67%,"40,485","36,072",10.90%,6.10%,0.191,17.28%,-0.28%
36,Slovenia,0.99,0.46,46.62%,37.50%,36.70%,43.80%,"34,965","32,133",8.10%,32.1,3.23%,5.6,17.45%,-29.18%,21.88%,"51,638","43,273",16.20%,-8.10%,0.053,0.95%,7.15%
37,Estonia,0.69,0.34,48.54%,30.60%,23.70%,46.20%,"23,621","17,267",26.90%,34.1,4.93%,6.4,18.77%,-29.77%,21.26%,"36,260","27,014",25.50%,1.40%,0.131,27.75%,-0.85%
38,Cyprus,0.4,0.19,48.61%,22.50%,19.40%,9.10%,"35,475","30,508",14.00%,7.9,1.99%,1.6,20.25%,-28.36%,28.57%,"40,445","34,985",13.50%,0.50%,0.116,16.80%,-2.80%
39,Luxembourg,0.28,0.13,45.32%,17.40%,28.60%,26.50%,"62,636","59,191",5.50%,10.8,3.88%,1.5,13.89%,-31.43%,28.57%,"72,756","58,932",19.00%,-13.50%,0.075,6.65%,-1.15%
40,Malta,0.21,0.08,39.17%,27.00%,13.00%,7.40%,"34,176","30,553",10.60%,7.1,3.35%,0.8,11.27%,-27.91%,20.00%,"46,289","37,680",18.60%,-8.00%,0.217,7.20%,3.40%
41,Iceland,0.2,0.09,46.87%,38.30%,41.20%,44.40%,"55,984","48,305",13.72%,7.7,3.92%,1.7,22.08%,-24.79%,27.54%,"55,984","47,866",14.50%,-0.78%,0.051,16.01%,-2.29%
