,ID,name,category,main_category,goal,pledged,state,backers
850,1005014904,Worlds of Adventure: Fantasy Realms,Tabletop Games,Games,10000.0,294.0,failed,15
865,100510248,Without You,Film & Video,Film & Video,2000.0,15.0,failed,2
869,1005125521,1862 Railway mania in the Eastern Counties,Tabletop Games,Games,12000.0,18312.0,successful,139
882,1005181228,You Know You Like It,Music Videos,Film & Video,1500.0,1520.0,successful,25
885,1005202790,Treasure Book Covers,Mixed Media,Art,4500.0,0.0,failed,0
891,100522240,DO NOT DUPLICATE - Selected by 2015 Devon Film Commision,Film & Video,Film & Video,1500.0,277.0,undefined,0
925,1005395063,The ManBoy LP by OLIVER MANNING,Indie Rock,Music,2000.0,2292.0,successful,94
938,1005478066,FashionRider Show & Tell - Video Documentary,Film & Video,Film & Video,16000.0,0.0,failed,0
943,1005488974,Gender neutral pair dance - exploring gender roles in dance,Dance,Dance,2000.0,819.61,failed,24
944,1005515884,Illusions of Reality,Digital Art,Art,7000.0,200.0,failed,6
946,1005519605,Glass Paradise,Art,Art,3000.0,3440.0,successful,81
949,1005529974,"Attention, a life in Extremes",Documentary,Film & Video,20000.0,1624.0,failed,41
974,1005731433,Darker Shade of Fado,World Music,Music,2500.0,2515.0,successful,21
987,1005820080,The Million Pound Shirt,Fashion,Fashion,1000000.0,10.0,failed,1
1000,1005889641,NERO: RFID Blocking Wallet Leather or Kevlar + Carbon Fiber,Product Design,Design,500.0,6755.0,successful,286
1002,100590427,Keepers of the Kingdom,Photo,Journalism,10500.0,1579.62,failed,62
1009,1005949551,Oh When The Blues - Oldham Athletic Photography Book,Photobooks,Photography,2200.0,2451.01,successful,103
1022,1006008989,War for the Overworld,Video Games,Games,150000.0,211371.5,successful,8351
1032,1006075060,Rounds. Set design campaign.,Plays,Theater,700.0,966.0,successful,34
1064,100626163,Designed Sculptural Jewellery Collection,Design,Design,10000.0,1.0,canceled,1
1083,1006405499,UK Salmon Laders,Woodworking,Crafts,200.0,0.0,failed,0
1089,1006462050,Leif Garrett - The Musical,Theater,Theater,75000.0,0.0,failed,0
1094,1006492574,"TheXLC Pre-Printed MDF Wargame Terrain. Quick, Robust, 28mm",Tabletop Games,Games,2500.0,7553.0,successful,97
1095,1006495792,Polar - The First Do-It-All Social and Business Meeting App,Apps,Technology,30000.0,1.0,failed,1
1098,1006507504,Ellis Rugby - British Isles Pioneer Rugby Collection,Fashion,Fashion,500.0,3681.0,successful,89
1100,1006519656,Bucket of Doom - The death-dodging party game,Tabletop Games,Games,15000.0,15336.01,successful,563
1101,1006522756,PLEASE SUPPORT A TOUR OF SPUN THROUGH SHADOWS,Immersive,Theater,1200.0,1645.0,successful,27
1111,1006634155,Chocolatey Wonders,Product Design,Design,6000.0,1172.0,failed,35
1117,1006664631,The Package III DVD,Animation,Film & Video,150.0,0.0,failed,0
1118,1006664751,Dedication has no limitation,Documentary,Film & Video,26500.0,1566.0,failed,16
1142,1006817722,Publishing my dream fantasy novel,Fiction,Publishing,1500.0,151.0,failed,7
1155,1006890111,Swimmerix: Super Accurate and Easy-To-Use Swim Tracker,Product Design,Design,24000.0,5667.0,canceled,52
1161,1006927409,Gray's at New Designers,Fashion,Fashion,2500.0,2565.0,successful,38
1170,1006997833,Not Of This World (Student Film Project),Shorts,Film & Video,4200.0,170.0,failed,4
1174,1007013403,WBOS presents Boogie Nights the Musical,Musical,Theater,5000.0,0.0,failed,0
1182,1007035613,The Cardboard Box - Take my  own play to fringe festival!,Theater,Theater,500.0,65.0,canceled,7
1193,1007087321,Bound Notebooks,Design,Design,2000.0,2303.0,successful,58
1195,1007104392,SandBoxCheck: Testing Malware Analysis Tools,Technology,Technology,50000.0,11.0,failed,2
1202,1007160049,Orbis Terrarum RPG,Tabletop Games,Games,2000.0,4687.0,successful,122
1203,1007161697,HUMAN CONDITION,Film & Video,Film & Video,7000.0,18.0,failed,5
1213,1007216026,"The Steel & Flint Pen, Worlds Finest Soft-Close Magnetic Pen",Product Design,Design,12000.0,16084.0,live,239
1218,100724397,Sara-Jayne Berrill Dance,Performances,Dance,500.0,425.0,live,12
1221,1007254417,The Pet Print Project,Illustration,Art,500.0,2746.0,successful,75
1224,1007262945,"Tubix - the all metal, modular pill holder",Product Design,Design,20000.0,7217.0,failed,194
1232,1007311371,The Forgotten: Documenting the Rohingya,Documentary,Film & Video,9875.0,505.0,failed,16
1234,1007337083,Blind Album - Maria Hatcher,Indie Rock,Music,1000.0,1658.0,successful,39
1238,1007375303,Her Days,Comedy,Film & Video,250.0,0.0,live,0
1245,1007415790,DNA Pens - Unique British writing instruments,Product Design,Design,2500.0,4071.0,successful,97
1247,100742490,Beyond The Bougainvillea - A Short Film,Drama,Film & Video,1500.0,1568.0,successful,32
1255,1007484429,SuperEngine,Mobile Games,Games,120000.0,0.0,failed,0
1273,1007613086,Steel Unique - Stainless Steel Christmas Decorations,Product Design,Design,650.0,175.0,failed,5
1282,1007678722,#giftforGIFT,Festivals,Theater,5000.0,620.0,failed,22
1317,1007845710,Legendary Dice Throwers- the evolution of dice towers,Tabletop Games,Games,8000.0,9983.0,successful,205
1318,10078468,Art for Change Exhibition: igniting empathy & resilience,Mixed Media,Art,1050.0,233.0,failed,7
1343,10079869,Bravory - Ruin (Working Title) :  Stage 1,Music,Music,500.0,101.0,failed,2
1349,100803420,"Well, That About Wraps It Up For The Sea",Music,Music,66.0,612.0,successful,32
1363,100811204,Maya - Jinn Possession in Pakistan,Horror,Film & Video,800.0,55.0,failed,1
1370,1008170875,Medieval Intercultural Interactions in Southern Italy,Academic,Publishing,4420.0,102.0,failed,3
1386,1008284937,Captain Pancake,Theater,Theater,4000.0,1376.0,failed,46
1387,1008286001,Community Gardens and Greens,Community Gardens,Food,100000.0,0.0,failed,0
1397,1008375938,Olivia Rose DAYDREAMS Art Book,Art,Art,450.0,1839.45,successful,43
1410,1008452184,Accidentally On Purpose Productions Edinburgh Fringe 2014,Theater,Theater,1000.0,1026.0,successful,22
1417,1008472025,Help Me Change My Life & Become a Professional Photographer!,Photography,Photography,30000.0,0.0,failed,0
1436,100860604,Handmade Environmentally Friendly Candles,Candles,Crafts,10.0,70.0,successful,2
1445,1008667332,Exposing offshore Britain,Web,Journalism,500.0,225.0,failed,2
1450,1008683670,Smokescreen - Short Film,Shorts,Film & Video,100.0,164.5,successful,13
1473,100879523,The Happy Newspaper,Print,Journalism,500.0,1379.0,successful,73
1478,1008853772,"The original watch brand: luxury, affordable and different.",Jewelry,Fashion,20000.0,3087.0,live,29
1486,1008903805,Altered Tomb Games - The Dragon War Legends,Video Games,Games,35000.0,105.0,failed,5
1493,1008930901,"Record ""High Noon Over Camelot""",Indie Rock,Music,2500.0,5751.0,successful,202
1496,1008937002,Big Wild World (Canceled),Performance Art,Art,5000.0,0.0,canceled,0
1506,1009004072,Not-so-tiny Folding House,Architecture,Design,5000.0,1257.0,live,15
1521,1009083559,Deck of custom BICYCLE  playing cards:  Mr. BIG,Tabletop Games,Games,10000.0,877.25,failed,77
1536,1009175761,Wayfarers All,Country & Folk,Music,3500.0,3535.0,successful,45
1543,1009213249,TheChildishGamerz: YouTube Gaming Channel (Equipment),Video Games,Games,80.0,100.0,successful,4
1548,1009221859,"Zombie Novel      ""Breakout Z- Virus in Beijing""",Fiction,Publishing,500.0,150.0,failed,9
1570,100936086,Four Past Sanity,Webseries,Film & Video,1450.0,41.0,failed,3
1598,1009575883,Autos a Escala: The Artbook,Art Books,Publishing,8200.0,1181.0,failed,30
1617,1009713929,Grump's Quest,Video Games,Games,450000.0,15800.0,failed,40
1622,1009757842,Insight,Shorts,Film & Video,1000.0,1149.0,successful,20
1629,1009802597,The Wishing Horse,Shorts,Film & Video,200.0,335.0,successful,22
1634,1009813249,The Tale of Tales,Theater,Theater,3500.0,10.0,failed,1
1639,100984199,Legends: True Explorers of the Wildest Regions,Journalism,Journalism,15000.0,3.0,failed,3
1652,100992890,Squbo,Technology,Technology,10000.0,0.0,failed,0
1658,1009968680,Wreck - Space Wars,Tabletop Games,Games,5200.0,43.0,failed,5
1659,1009986728,The Shadow Among the Light - A Short Film,Shorts,Film & Video,2000.0,0.0,failed,0
1662,1010025177,David and his Dog : a graphic novel of adventure and mystery,Fiction,Publishing,7500.0,0.0,failed,0
1663,1010043252,Disciples Dark,Tabletop Games,Games,10000.0,705.0,failed,20
1694,1010305368,Broken Glass - A Google Glass short film,Film & Video,Film & Video,4000.0,110.0,failed,5
1696,1010309316,Venture Manchester - Parkour Hub,Design,Design,3000.0,60.0,failed,3
1705,1010352561,Survival 101 - What you need to know for when the SHTF !,DIY,Crafts,3000.0,100.0,failed,4
1707,1010356524,Summer Lovin' Tanning Stencil Bikini by Infusion Swimwear,Fashion,Fashion,4000.0,432.0,failed,5
1708,1010358109,Justice For Fathers. A Gritty Northern Black Comedy Film.,Film & Video,Film & Video,6000.0,121.0,failed,4
1729,1010516592,A �13 Poem,Poetry,Publishing,13.0,125.49,successful,17
1745,1010598232,FACTOR 9 : How could this happen?,Theater,Theater,25000.0,12347.25,failed,147
1779,1010755947,St Matthew Passion,Classical Music,Music,5000.0,46.0,failed,4
1780,1010757215,Dingbats* Notebooks,Product Design,Design,15000.0,240.0,failed,15
1781,1010758977,Medieval & Renaissance Luxury Cat and Dog collars,Product Design,Design,50.0,151.0,successful,9
1804,1010918879,Democracy for toddlers,Children's Books,Publishing,2000.0,2191.22,successful,121
1809,1010953592,Wild Italy,Publishing,Publishing,20000.0,80.0,failed,4
1813,101102048,Hatstand,Dance,Dance,500.0,353.0,failed,13
1814,101102517,The Assumer: A Psychological Thriller For The Next-Gen!,Comics,Comics,25000.0,25.0,canceled,1
1830,1011085702,London: Travels of a Gen Y Alien,Comics,Comics,3000.0,5.0,failed,1
1831,1011091402,Love Beyond the Musical - National Tour,Musical,Theater,400000.0,30620.5,failed,123
1836,1011131069,bookwormz.co.uk,Web,Technology,50000.0,2654.0,failed,12
1843,1011174550,WHERE IS THE WORLD,Photobooks,Photography,5000.0,1549.0,failed,7
1866,101134401,The Adventure Photo Challenge - from Australia to Estonia,Photography,Photography,1000.0,4181.0,successful,53
1891,1011502029,Bash N Dash,Mobile Games,Games,2000.0,10.0,failed,5
1899,1011547848,Frederick Elton's Rock Album/Home Studio Start up,Rock,Music,10000.0,0.0,failed,0
1901,1011554703,Free Range Chicken Coop for Rural Andean Farm. #VamosChicken,Farms,Food,600.0,608.0,successful,15
1909,1011584108,Cimmerian Space Realtime 3D Browser Game,Games,Games,5000.0,1360.0,failed,36
1921,1011629403,Kinging-It Clothing/ New Website,Apparel,Fashion,2000.0,2212.0,successful,68
1929,1011680616,BRING MISSING BACK TO LIFE,Theater,Theater,5000.0,11064.0,successful,507
1934,1011703457,"Big Scary Lions, and Hopefully A Meerkat Or Two",Animals,Photography,9500.0,0.0,failed,0
1944,101173232,The Lasagne Project Support,Food,Food,30.0,1.0,failed,1
1947,1011761722,Freestyle magazine Issue 4,Art Books,Publishing,15000.0,15056.88,successful,97
1972,1011898828,A Strange and Marvellous Adventure - Film,Film & Video,Film & Video,300.0,335.0,successful,19
1974,101190811,The Renata Road - Feature Film,Narrative Film,Film & Video,10000.0,10317.0,successful,141
1978,1011952280,NHSOB Summer Festival 2015,Music,Music,3000.0,34.0,undefined,0
1980,1011962023,Help! I'm about to be a dad,Fiction,Publishing,100000.0,0.0,failed,0
1999,1012060419,Self Replicating Blocks,Hardware,Technology,6000.0,216.0,failed,7
2003,1012076836,Universal PWM Controller Kit,DIY Electronics,Technology,500.0,115.0,failed,10
2018,1012205909,Black Circle Coffee Roasters,Drinks,Food,60000.0,26.0,live,1
2064,1012495155,Through the Eye,Experimental,Film & Video,2000.0,0.0,failed,0
2070,1012551391,GoLoud Promotions Presents....,Jazz,Music,2500.0,0.0,failed,0
2073,1012572524,Copper Twist - Unique besoke industrial furniture & fittings,Crafts,Crafts,2000.0,0.0,failed,0
2084,1012665249,Rediscovering Reading. . . (Canceled),Photography,Photography,150.0,0.0,canceled,0
2086,1012669326,175 Faces of Tiffin,Art,Art,2000.0,2248.0,successful,59
2115,1012791990,The Gigolo,Shorts,Film & Video,15000.0,401.0,failed,4
2122,1012807897,Juliet Remembered,Film & Video,Film & Video,6500.0,6660.12,undefined,0
2135,101286868,Brumset,Film & Video,Film & Video,250.0,20.0,failed,1
2146,1012934131,TEN FACES OF ANNA - POST-PRODUCTION,Webseries,Film & Video,1000.0,1005.0,successful,16
2147,1012937016,'Journeys to Somewhere Else' by John Avon,Illustration,Art,24000.0,90542.0,successful,901
2163,1013021535,TEYR Debut Album - Far From The Tree,Country & Folk,Music,4000.0,4343.0,successful,120
2184,10131266,Battle Tank Defence,Video Games,Games,10000.0,60.0,failed,4
2185,1013133208,Broken Biscuits - Fund my new tote bag design idea,Crafts,Crafts,155.0,91.0,failed,6
2188,1013161175,Project BABYSTEPS - Making ArtByCoylo a reality,Painting,Art,3000.0,45.0,failed,1
2214,1013308411,Scottish Diaspora's John Muir-Still Documentary Wood Prints,People,Photography,6000.0,50.0,canceled,2
2240,1013415482,The rise of Myanmar's contemporary art,Film & Video,Film & Video,450.0,1.0,failed,1
2250,1013465063,Welcome To Undershaw - Sherlock's Home,Publishing,Publishing,500.0,821.0,successful,32
2259,1013503401,Potjie,Drama,Film & Video,4500.0,4843.0,successful,67
2271,1013553084,Hero Keeper (Canceled),Video Games,Games,2000.0,60.0,canceled,6
2282,1013630127,Helping out a poor photographer (Canceled),Photography,Photography,500.0,0.0,canceled,0
2286,1013644321,The Line Collection - Uncompromising Everyday Watches,Product Design,Design,15000.0,30867.0,successful,254
2295,1013693136,'Lunar Attraction' - Stop Motion Animated Short Film,Animation,Film & Video,18000.0,15111.0,failed,73
2308,1013783768,Novlr. Novel writing. Simply.,Software,Technology,20000.0,8873.77,failed,151
2309,1013807369,Colonel Drummer And The Jelly Bean That Lost Its Bounce,Children's Books,Publishing,2000.0,20.0,failed,1
2324,1013937522,Help fund The Pitchfork Disney @ The Nottingham New Theatre,Theater,Theater,100.0,101.0,successful,6
2327,101395376,The House Beautiful,Theater,Theater,500.0,50.0,failed,1
2354,1014133501,Painting dance,Painting,Art,3600.0,4628.0,successful,73
2362,1014195859,100 Boomerangs - become a test pilot to help improve design,Product Design,Design,5000.0,110.0,canceled,3
2367,1014234027,Full Frontal Nerdity DVD,Comedy,Film & Video,3500.0,13092.31,successful,421
2371,1014243887,"The girl, the bike and the dream (Canceled)",Documentary,Film & Video,5000.0,10.0,canceled,1
2375,1014263473,Big Wild World,Theater,Theater,2000.0,2372.0,successful,59
2415,1014504468,Supersonic Festival 2015,Music,Music,20000.0,21220.0,successful,256
2441,1014738284,EMBER wear Ski and Snow Sport Heated Gloves and Mittens,Wearables,Technology,20000.0,2550.0,failed,23
2453,1014826692,Sativinia Larp,Live Games,Games,750.0,50.0,failed,1
2456,1014853432,Clip Calendar - Nature of the Shetland Islands,Nature,Photography,1000.0,1117.0,successful,42
2459,101487250,Ember: the Magical Card Game,Tabletop Games,Games,5000.0,5775.5,successful,276
2463,1014879549,Election Rally - it's your turn to say your word (Canceled),Mobile Games,Games,2000.0,0.0,canceled,0
2473,1014911572,NIKKA - Your Digital Strongbox for Smart Security,Hardware,Technology,30000.0,1256.0,failed,9
2500,1015025522,The Pen from Space - INFINITY,Product Design,Design,10000.0,24639.0,successful,437
2506,101503406,Help  to finish Junkyard Skatepark,Interactive Design,Design,2000.0,2129.0,successful,61
2513,1015071296,Matrix Effects,Theater,Theater,100000.0,393.0,failed,11
2515,1015084722,Bear In Mind's Debut EP!,Rock,Music,5000.0,0.0,failed,0
2518,1015105577,"Kensa | The Hexagonal Brass Pen, Adaptable to You.",Product Design,Design,2500.0,11807.5,successful,216
2533,101520644,The Taste Of Revenge. Western Feature Film,Narrative Film,Film & Video,174000.0,2090.0,failed,15
2534,1015210528,"A Work of Art - Short,  indie horror film",Shorts,Film & Video,300.0,0.0,failed,0
2537,1015214555,PitBoss,Restaurants,Food,10000.0,1.0,failed,1
2547,101526142,National Film Orchestra,Theater,Theater,30000.0,25.0,failed,1
2582,1015511629,Regressia:album of Ukraine singer where Opera meets the Rock,Rock,Music,1000.0,63.0,failed,5
2585,1015518196,The Gravedogs - Working Title,Film & Video,Film & Video,400.0,40.0,failed,3
2587,1015524059,Good Fellows - An iOS adventure game.,Video Games,Games,780.0,55.0,failed,2
2608,1015632675,Gallivant Playing Cards (Canceled),Playing Cards,Games,5000.0,1778.0,canceled,80
2616,1015688047,quia non numquam eius (Canceled),Film & Video,Film & Video,27000.0,1074.0,canceled,11
2618,1015697491,Designer Brand With A Cause,Ready-to-wear,Fashion,5000.0,515.0,failed,7
2633,1015789062,Wild West Riot - Addictive conquest and control game!,Video Games,Games,4000.0,158.0,failed,11
2646,1015824824,Driving Me Mazy,Video Games,Games,15000.0,2.0,failed,2
2647,1015832213,The Farmer,Horror,Film & Video,800.0,240.0,failed,5
2648,1015833896,Sprawl War,Games,Games,2700.0,308.0,failed,13
2658,1015887900,Eco Sustainable Living,Architecture,Design,12000.0,2.0,failed,2
2665,1015947929,Create your own Customized Snap back baseball hats,Fashion,Fashion,15000.0,10.0,failed,1
2667,1015956967,Sports Play at international theatre festival in Algeria,Theater,Theater,7500.0,16.0,failed,3
2713,1016230240,Breathe Chelsea,Web,Journalism,15000.0,5.0,failed,1
2718,1016265146,Recording the music of classical guitarist Augustin Barrios,Classical Music,Music,2000.0,2216.0,successful,53
2743,1016438519,The Bear Goes Walkabout 2013 UK Opera Tour,Music,Music,8000.0,4790.0,failed,52
2770,1016595269,Bruised (A Prequel To Shanked) - A film on Domestic Violence,Shorts,Film & Video,1000.0,105.0,failed,7
2771,1016630664,Bakes 'N' Shakes,Food,Food,5000.0,0.0,failed,0
2776,1016645962,Sympic,Web,Technology,3000.0,2.0,failed,2
2790,101672906,"Don't compromise for convenience, take a fresh look ...",Food,Food,5000.0,110.0,failed,4
2795,1016755974,TK GO,Graphic Novels,Comics,3500.0,117.0,live,5
2798,1016781421,Fantasy Funding,Children's Books,Publishing,675.0,236.0,failed,16
2806,101683642,Cerat: Luxury Pencils of Britain (Canceled),Stationery,Crafts,1000.0,94.0,canceled,6
2826,1016931193,Daylight Hours,Video Games,Games,200.0,3.0,failed,2
2831,101695472,Shadow Of Valor: The Darkness Endures,Fantasy,Film & Video,1000.0,227.0,failed,8
2834,1016972003,Chocky Hendreth's Doppelg�ng,Fashion,Fashion,5000.0,333.0,failed,7
2841,1017019083,F*** You Kitty Jenkins,Comic Books,Comics,1000.0,1894.0,successful,87
2846,101706164,Rivers Of Time - A Documentary Film production (Canceled),Documentary,Film & Video,35000.0,4500.0,canceled,9
2856,1017121092,Wrestling Podcast for the 'Universe',Journalism,Journalism,180.0,4.0,failed,4
2864,1017195680,Community Spinning and fibre Group Wheel,Crafts,Crafts,300.0,306.0,successful,17
2866,1017217801,Pixel Shades by R A V E Z (Canceled),Wearables,Technology,5800.0,876.0,canceled,9
2881,1017301556,Peat Reek - A short Scottish film about whisky smuggling,Shorts,Film & Video,3300.0,4010.0,successful,79
2883,1017309392,Lulu & Kuis: Create your own luxury wool coat,Ready-to-wear,Fashion,4000.0,4000.0,successful,21
2898,101738386,E.P release,Indie Rock,Music,1000.0,1422.0,successful,153
2903,1017408264,l'�glise sur l'oc�an - The church on the ocean,Film & Video,Film & Video,2500.0,2925.0,undefined,0
2922,1017502930,Autism: Hearts of Angels...,People,Photography,2850.0,935.0,failed,11
2923,1017507083,'Little' - Short Film,Shorts,Film & Video,1650.0,1710.0,successful,54
2927,1017513528,"ibou pocket, the handy pouch for your handbag.",Fashion,Fashion,5000.0,7034.0,successful,189
2935,1017547220,Roll out zebra crossing,Technology,Technology,1500.0,20.0,failed,2
2968,1017735286,Street pet fashion - Danie's Fashion,Pet Fashion,Fashion,5000.0,0.0,failed,0
2975,1017782025,The Golden Turd,Video Games,Games,40000.0,371.0,live,18
2979,1017820952,Second City Coffee,Drinks,Food,3000.0,497.0,failed,13
3010,101801331,"Trackable, Handcrafted Leather Products",Product Design,Design,50000.0,8977.0,failed,53
3026,1018070335,"90 days to Create an Album, Perform it Live & Film it all!",Electronic Music,Music,5000.0,496.0,failed,7
3036,1018148257,INFESTED EARTH Issue 1,Comic Books,Comics,2500.0,2951.0,successful,96
